sensor,cycle_window,variance
setting_1,"(0.999, 21.0]",4.635833489870455e-06
setting_1,"(21.0, 42.0]",4.805573018897877e-06
setting_1,"(42.0, 62.0]",4.649591585792896e-06
setting_1,"(62.0, 83.0]",4.80757190272011e-06
setting_1,"(83.0, 104.0]",4.882390659951446e-06
setting_1,"(104.0, 124.0]",4.910082791395702e-06
setting_1,"(124.0, 145.0]",4.755202790509389e-06
setting_1,"(145.0, 169.0]",4.7148528180364505e-06
setting_1,"(169.0, 199.0]",4.749429221896934e-06
setting_1,"(199.0, 362.0]",4.943213045412158e-06
setting_2,"(0.999, 21.0]",8.973955625127596e-08
setting_2,"(21.0, 42.0]",8.366750606864928e-08
setting_2,"(42.0, 62.0]",8.976388194097054e-08
setting_2,"(62.0, 83.0]",8.530288572789751e-08
setting_2,"(83.0, 104.0]",8.44615440459175e-08
setting_2,"(104.0, 124.0]",8.585240370185113e-08
setting_2,"(124.0, 145.0]",8.730994478377908e-08
setting_2,"(145.0, 169.0]",8.363545790120334e-08
setting_2,"(169.0, 199.0]",8.305434020370813e-08
setting_2,"(199.0, 362.0]",8.60549838760724e-08
setting_3,"(0.999, 21.0]",0.0
setting_3,"(21.0, 42.0]",0.0
setting_3,"(42.0, 62.0]",0.0
setting_3,"(62.0, 83.0]",0.0
setting_3,"(83.0, 104.0]",0.0
setting_3,"(104.0, 124.0]",0.0
setting_3,"(124.0, 145.0]",0.0
setting_3,"(145.0, 169.0]",0.0
setting_3,"(169.0, 199.0]",0.0
setting_3,"(199.0, 362.0]",0.0
sensor_1,"(0.999, 21.0]",0.0
sensor_1,"(21.0, 42.0]",0.0
sensor_1,"(42.0, 62.0]",0.0
sensor_1,"(62.0, 83.0]",0.0
sensor_1,"(83.0, 104.0]",0.0
sensor_1,"(104.0, 124.0]",0.0
sensor_1,"(124.0, 145.0]",0.0
sensor_1,"(145.0, 169.0]",0.0
sensor_1,"(169.0, 199.0]",0.0
sensor_1,"(199.0, 362.0]",0.0
sensor_2,"(0.999, 21.0]",0.14555653086505316
sensor_2,"(21.0, 42.0]",0.1364133377798885
sensor_2,"(42.0, 62.0]",0.1398759147323612
sensor_2,"(62.0, 83.0]",0.146571244719708
sensor_2,"(83.0, 104.0]",0.1499005931168906
sensor_2,"(104.0, 124.0]",0.16879309152076588
sensor_2,"(124.0, 145.0]",0.20340576866693275
sensor_2,"(145.0, 169.0]",0.21158185923428555
sensor_2,"(169.0, 199.0]",0.21705591396587778
sensor_2,"(199.0, 362.0]",0.2034947952693055
sensor_3,"(0.999, 21.0]",21.254429254384075
sensor_3,"(21.0, 42.0]",21.669793527507345
sensor_3,"(42.0, 62.0]",23.127122520360015
sensor_3,"(62.0, 83.0]",21.53386040270837
sensor_3,"(83.0, 104.0]",22.41221963608511
sensor_3,"(104.0, 124.0]",25.233651683816017
sensor_3,"(124.0, 145.0]",28.29632615587035
sensor_3,"(145.0, 169.0]",31.371643924712494
sensor_3,"(169.0, 199.0]",34.8483240557284
sensor_3,"(199.0, 362.0]",30.797598448815446
sensor_4,"(0.999, 21.0]",35.51361522947374
sensor_4,"(21.0, 42.0]",34.98921889335035
sensor_4,"(42.0, 62.0]",36.79159860627807
sensor_4,"(62.0, 83.0]",36.453907298623676
sensor_4,"(83.0, 104.0]",40.07664603668493
sensor_4,"(104.0, 124.0]",46.695941768383825
sensor_4,"(124.0, 145.0]",57.887255173518064
sensor_4,"(145.0, 169.0]",67.34287523588578
sensor_4,"(169.0, 199.0]",70.28207736942402
sensor_4,"(199.0, 362.0]",59.772507682174485
sensor_5,"(0.999, 21.0]",0.0
sensor_5,"(21.0, 42.0]",0.0
sensor_5,"(42.0, 62.0]",0.0
sensor_5,"(62.0, 83.0]",0.0
sensor_5,"(83.0, 104.0]",0.0
sensor_5,"(104.0, 124.0]",0.0
sensor_5,"(124.0, 145.0]",0.0
sensor_5,"(145.0, 169.0]",0.0
sensor_5,"(169.0, 199.0]",0.0
sensor_5,"(199.0, 362.0]",0.0
sensor_6,"(0.999, 21.0]",4.666417114722097e-06
sensor_6,"(21.0, 42.0]",3.44551827400679e-06
sensor_6,"(42.0, 62.0]",3.099149574785142e-06
sensor_6,"(62.0, 83.0]",2.5064996937316e-06
sensor_6,"(83.0, 104.0]",2.234533451301191e-06
sensor_6,"(104.0, 124.0]",1.429689844922045e-06
sensor_6,"(124.0, 145.0]",8.678253434686083e-07
sensor_6,"(145.0, 169.0]",3.7932188514239714e-07
sensor_6,"(169.0, 199.0]",3.455048328014755e-07
sensor_6,"(199.0, 362.0]",0.0
sensor_7,"(0.999, 21.0]",0.3849795132376157
sensor_7,"(21.0, 42.0]",0.39347495405976846
sensor_7,"(42.0, 62.0]",0.3893153166333085
sensor_7,"(62.0, 83.0]",0.398107644433903
sensor_7,"(83.0, 104.0]",0.38639021756389375
sensor_7,"(104.0, 124.0]",0.4795816699349657
sensor_7,"(124.0, 145.0]",0.6258763385063012
sensor_7,"(145.0, 169.0]",0.6724932681006925
sensor_7,"(169.0, 199.0]",0.6887985018315876
sensor_7,"(199.0, 362.0]",0.5591198113789745
sensor_8,"(0.999, 21.0]",0.0030500295151868386
sensor_8,"(21.0, 42.0]",0.0029140977789969148
sensor_8,"(42.0, 62.0]",0.0029463571535787033
sensor_8,"(62.0, 83.0]",0.0029426675741396425
sensor_8,"(83.0, 104.0]",0.003291935184572454
sensor_8,"(104.0, 124.0]",0.00374272296147203
sensor_8,"(124.0, 145.0]",0.0049977456686623395
sensor_8,"(145.0, 169.0]",0.0052350267712481914
sensor_8,"(169.0, 199.0]",0.005292321068637555
sensor_8,"(199.0, 362.0]",0.004493021779902169
sensor_9,"(0.999, 21.0]",70.0203922797653
sensor_9,"(21.0, 42.0]",71.11772091597564
sensor_9,"(42.0, 62.0]",70.55951639377469
sensor_9,"(62.0, 83.0]",71.6533222986819
sensor_9,"(83.0, 104.0]",89.13460355324078
sensor_9,"(104.0, 124.0]",119.57146865389544
sensor_9,"(124.0, 145.0]",223.24158606839276
sensor_9,"(145.0, 169.0]",539.2202477075593
sensor_9,"(169.0, 199.0]",1381.775909049491
sensor_9,"(199.0, 362.0]",1117.9029203492873
sensor_10,"(0.999, 21.0]",0.0
sensor_10,"(21.0, 42.0]",0.0
sensor_10,"(42.0, 62.0]",0.0
sensor_10,"(62.0, 83.0]",0.0
sensor_10,"(83.0, 104.0]",0.0
sensor_10,"(104.0, 124.0]",0.0
sensor_10,"(124.0, 145.0]",0.0
sensor_10,"(145.0, 169.0]",0.0
sensor_10,"(169.0, 199.0]",0.0
sensor_10,"(199.0, 362.0]",0.0
sensor_11,"(0.999, 21.0]",0.031880740738219684
sensor_11,"(21.0, 42.0]",0.03032752022504984
sensor_11,"(42.0, 62.0]",0.030681101325663384
sensor_11,"(62.0, 83.0]",0.031161210553779482
sensor_11,"(83.0, 104.0]",0.03226634585630398
sensor_11,"(104.0, 124.0]",0.04052383951975989
sensor_11,"(124.0, 145.0]",0.051785937739406505
sensor_11,"(145.0, 169.0]",0.0581604741025429
sensor_11,"(169.0, 199.0]",0.06008476392587296
sensor_11,"(199.0, 362.0]",0.05118395902060752
sensor_12,"(0.999, 21.0]",0.2579959567821791
sensor_12,"(21.0, 42.0]",0.24644933905028157
sensor_12,"(42.0, 62.0]",0.25354164442223714
sensor_12,"(62.0, 83.0]",0.25078814092875895
sensor_12,"(83.0, 104.0]",0.28088875428202165
sensor_12,"(104.0, 124.0]",0.32366523539272535
sensor_12,"(124.0, 145.0]",0.4077704453238875
sensor_12,"(145.0, 169.0]",0.47842831291872995
sensor_12,"(169.0, 199.0]",0.4634000032120352
sensor_12,"(199.0, 362.0]",0.39681079424007704
sensor_13,"(0.999, 21.0]",0.0029898318019901727
sensor_13,"(21.0, 42.0]",0.0030379137457663898
sensor_13,"(42.0, 62.0]",0.003180426188095923
sensor_13,"(62.0, 83.0]",0.0031344049547588
sensor_13,"(83.0, 104.0]",0.003239290455775697
sensor_13,"(104.0, 124.0]",0.003713192371171291
sensor_13,"(124.0, 145.0]",0.0049688207581662725
sensor_13,"(145.0, 169.0]",0.005630693371961719
sensor_13,"(169.0, 199.0]",0.005438585198069849
sensor_13,"(199.0, 362.0]",0.00446847862455205
sensor_14,"(0.999, 21.0]",61.95980028775038
sensor_14,"(21.0, 42.0]",66.20196964837852
sensor_14,"(42.0, 62.0]",64.96604515047771
sensor_14,"(62.0, 83.0]",67.23887985142409
sensor_14,"(83.0, 104.0]",75.5615025026993
sensor_14,"(104.0, 124.0]",107.7576220203939
sensor_14,"(124.0, 145.0]",193.78605826385004
sensor_14,"(145.0, 169.0]",438.8449318748851
sensor_14,"(169.0, 199.0]",1089.7782078998584
sensor_14,"(199.0, 362.0]",870.0760670210311
sensor_15,"(0.999, 21.0]",0.000696611317577513
sensor_15,"(21.0, 42.0]",0.0007187313977267909
sensor_15,"(42.0, 62.0]",0.0007090882985267619
sensor_15,"(62.0, 83.0]",0.0007103508187821667
sensor_15,"(83.0, 104.0]",0.0007532657293586651
sensor_15,"(104.0, 124.0]",0.0008834933030915313
sensor_15,"(124.0, 145.0]",0.001041469527923999
sensor_15,"(145.0, 169.0]",0.0011909103772614067
sensor_15,"(169.0, 199.0]",0.0012485462942516676
sensor_15,"(199.0, 362.0]",0.0010813767979677108
sensor_16,"(0.999, 21.0]",0.0
sensor_16,"(21.0, 42.0]",0.0
sensor_16,"(42.0, 62.0]",0.0
sensor_16,"(62.0, 83.0]",0.0
sensor_16,"(83.0, 104.0]",0.0
sensor_16,"(104.0, 124.0]",0.0
sensor_16,"(124.0, 145.0]",0.0
sensor_16,"(145.0, 169.0]",0.0
sensor_16,"(169.0, 199.0]",0.0
sensor_16,"(199.0, 362.0]",0.0
sensor_17,"(0.999, 21.0]",1.2995385557748889
sensor_17,"(21.0, 42.0]",1.2496798929195392
sensor_17,"(42.0, 62.0]",1.3154674837418756
sensor_17,"(62.0, 83.0]",1.373738968669877
sensor_17,"(83.0, 104.0]",1.3289074162299355
sensor_17,"(104.0, 124.0]",1.4979427213606504
sensor_17,"(124.0, 145.0]",1.7118688392486274
sensor_17,"(145.0, 169.0]",2.040576935182423
sensor_17,"(169.0, 199.0]",2.0979455077751137
sensor_17,"(199.0, 362.0]",1.991574499388381
sensor_18,"(0.999, 21.0]",0.0
sensor_18,"(21.0, 42.0]",0.0
sensor_18,"(42.0, 62.0]",0.0
sensor_18,"(62.0, 83.0]",0.0
sensor_18,"(83.0, 104.0]",0.0
sensor_18,"(104.0, 124.0]",0.0
sensor_18,"(124.0, 145.0]",0.0
sensor_18,"(145.0, 169.0]",0.0
sensor_18,"(169.0, 199.0]",0.0
