sensor,variance_slope,abs_slope
sensor_9,5.735226559365572,5.735226559365572
sensor_14,4.107369755146985,4.107369755146985
sensor_4,0.704014706077234,0.704014706077234
sensor_3,0.19407978607046042,0.19407978607046042
sensor_17,0.022322577521875712,0.022322577521875712
sensor_7,0.004732795256304524,0.004732795256304524
sensor_12,0.0042988397361189866,0.0042988397361189866
sensor_2,0.001555677921576977,0.001555677921576977
sensor_11,0.000593309558994659,0.000593309558994659
sensor_20,0.0002692052364537153,0.0002692052364537153
sensor_21,6.234063558575825e-05,6.234063558575825e-05
sensor_13,5.915552238820662e-05,5.915552238820662e-05
sensor_8,4.8269114450857294e-05,4.8269114450857294e-05
sensor_15,8.365380594874632e-06,8.365380594874632e-06
sensor_6,-4.880333954279374e-07,4.880333954279374e-07
setting_1,2.3412958081605896e-08,2.3412958081605896e-08
setting_2,-4.776065509936858e-10,4.776065509936858e-10
sensor_16,0.0,0.0
sensor_10,0.0,0.0
sensor_1,0.0,0.0
sensor_18,0.0,0.0
sensor_19,0.0,0.0
sensor_5,0.0,0.0
setting_3,0.0,0.0
