engine_id,anomaly_rate,max_reconstruction_error,first_flagged_cycle
1,0.109375,0.29070402169237763,22
2,0.1951219512195122,1.2640068501186565,1
3,0.3575418994413408,6.172866275975288,19
4,0.30158730158730157,5.065292229989105,111
5,0.37174721189591076,2.5480926317341392,13
6,0.1595744680851064,0.34867048592509703,9
7,0.2084942084942085,0.6369911310796502,1
8,0.12,0.5639708021490989,49
9,0.4129353233830846,7.2092768466613215,27
10,0.2072072072072072,1.407993259441912,14
11,0.25833333333333336,3.024477976496763,17
12,0.11764705882352941,0.31448202757198607,3
13,0.3006134969325153,2.9550435973546905,46
14,0.37222222222222223,1.9350979052904076,6
15,0.057971014492753624,0.5220254242203087,5
16,0.13875598086124402,0.6568228257776726,5
17,0.36231884057971014,3.790997844916092,8
18,0.36923076923076925,6.75093229187926,7
19,0.10759493670886076,0.4915480845912401,27
20,0.1794871794871795,0.9756390785449914,25
21,0.2923076923076923,3.7213624661467097,12
22,0.1188118811881188,0.37492874461376274,5
23,0.11904761904761904,0.5454332986355926,33
24,0.10884353741496598,0.4062972518142612,7
25,0.27391304347826084,2.649097789272084,33
26,0.2964824120603015,2.692560760996533,6
27,0.358974358974359,1.6823094692491676,1
28,0.24242424242424243,0.6061470331432232,17
29,0.12883435582822086,0.9240472649300542,25
30,0.08762886597938144,0.3407622098867407,10
31,0.10256410256410256,0.466933381502512,34
32,0.2094240837696335,1.8193742101741563,63
33,0.12,0.40636374206051623,2
34,0.3487179487179487,4.125959283963451,31
35,0.23204419889502761,0.6786421952920346,9
36,0.10759493670886076,0.49614443963165966,47
37,0.09411764705882353,0.3746854867769973,13
38,0.31443298969072164,4.396071729708608,17
39,0.1171875,0.4678553913989383,4
40,0.3404255319148936,3.078270908956941,3
41,0.3472222222222222,2.808071609829892,1
42,0.11224489795918367,0.30843060132783523,4
43,0.08695652173913043,0.46334826516082056,16
44,0.1875,0.9931742435477613,17
45,0.27848101265822783,1.6609682711648481,9
46,0.0859375,1.2168211130485977,7
47,0.2616822429906542,1.4275944909203797,11
48,0.39826839826839827,7.490359662524426,13
49,0.15348837209302327,0.9426416014755397,8
50,0.3333333333333333,1.8527147364445693,37
51,0.38028169014084506,7.651145966580447,20
52,0.27230046948356806,1.460696906068305,43
53,0.3384615384615385,4.590557994357604,18
54,0.32684824902723736,3.1762526220018366,15
55,0.3316062176165803,5.4187537896846605,36
56,0.3236363636363636,2.6938012831754556,23
57,0.08759124087591241,0.6006966054985002,4
58,0.09523809523809523,0.8215059972257933,33
59,0.09956709956709957,0.4699688230531424,2
60,0.2558139534883721,2.8813229452492557,114
61,0.06486486486486487,0.5120680999721331,43
62,0.08888888888888889,0.6446198468497573,33
63,0.367816091954023,4.842565738047181,20
64,0.2579505300353357,1.3054189038356843,8
65,0.0915032679738562,0.2856383929120296,23
66,0.2376237623762376,1.7346357519165938,14
67,0.1853035143769968,1.0086143846717712,7
68,0.38190954773869346,3.3976147118796463,22
69,0.13259668508287292,0.8033717718038021,17
70,0.25547445255474455,1.0089521244947335,6
71,0.28846153846153844,3.5312473409647196,44
72,0.107981220657277,0.9663964331653879,7
73,0.07981220657276995,1.029676417691686,14
74,0.0963855421686747,0.501869812561295,9
75,0.1222707423580786,0.4114500444023987,19
76,0.13333333333333333,0.651688265359733,20
77,0.14285714285714285,0.6764723877203632,23
78,0.20346320346320346,1.1853744802344808,2
79,0.21608040201005024,1.2519540881268725,12
80,0.32972972972972975,3.9081631327810076,22
81,0.10833333333333334,0.6119146980978216,97
82,0.35046728971962615,6.14348182110959,10
83,0.09556313993174062,0.3090932070437607,9
84,0.1797752808988764,1.2430330206239473,5
85,0.10638297872340426,0.24223171097849475,2
86,0.2014388489208633,0.5854064798685921,43
87,0.08426966292134831,0.6491875264727879,94
88,0.37089201877934275,2.822112270953484,5
89,0.14746543778801843,1.370150107535667,4
90,0.05844155844155844,0.2524033841849695,16
91,0.13333333333333333,0.22604405513319517,56
92,0.2991202346041056,2.066302593656515,34
93,0.12258064516129032,0.6712072999852764,6
94,0.29844961240310075,2.8845833075279472,13
95,0.3003533568904594,1.6958352194205288,41
96,0.14285714285714285,0.6131474905957545,13
97,0.28217821782178215,6.646534809278275,15
98,0.11538461538461539,0.7149923458794859,63
99,0.10810810810810811,0.6987685468996725,1
100,0.18,1.1447192450525192,1
