engine_id,cycle,reconstruction_error,anomaly
1,1,0.031223676220068986,False
1,2,0.007245007489542726,False
1,3,0.0020223609660778414,False
1,4,0.0015759132878633115,False
1,5,0.00360861057082518,False
1,6,0.00032475906608557336,False
1,7,0.02880127222531054,False
1,8,0.008782963892310829,False
1,9,0.008094674313063736,False
1,10,0.007312325335865048,False
1,11,0.020270691908665445,False
1,12,0.0016502229795385941,False
1,13,0.00038301754792098027,False
1,14,0.004681634758837449,False
1,15,0.012892594733332395,False
1,16,0.008911780323015648,False
1,17,0.0003649519362295688,False
1,18,0.0003855190298403424,False
1,19,0.019721249838439533,False
1,20,0.00043613177366043447,False
1,21,0.004811677811373907,False
1,22,0.05184145023086931,True
1,23,0.0026704590923783363,False
1,24,0.0164381729641762,False
1,25,0.0008507681818568006,False
1,26,0.0005741146399575155,False
1,27,0.010708092616580915,False
1,28,0.01125770877671766,False
1,29,0.0002993306652036655,False
1,30,0.02334553075105129,False
1,31,0.0770286087394731,True
1,32,0.005997482985969855,False
1,33,0.008653831973847904,False
1,34,0.00300010735633947,False
1,35,0.039269401001141624,True
1,36,0.004601065879637473,False
1,37,0.011817928655564297,False
1,38,0.00016600353496843938,False
1,39,0.0027763850246714937,False
1,40,0.00977838532060066,False
1,41,0.012591974602695304,False
1,42,0.018657819824563444,False
1,43,0.0449623391173787,True
1,44,0.0002629300569090269,False
1,45,0.056613262219175425,True
1,46,0.05193963032429897,True
1,47,0.02645144504896214,False
1,48,0.001032119991988993,False
1,49,0.0018860027706531226,False
1,50,0.003983343824793018,False
1,51,0.004593906136923169,False
1,52,0.00953907240167601,False
1,53,0.0007522592374626284,False
1,54,0.022500521354784416,False
1,55,0.0014498394112533442,False
1,56,0.02801895557735626,False
1,57,0.0047519694252798625,False
1,58,0.0008536195036650154,False
1,59,0.006970015904261926,False
1,60,0.001211846425920815,False
1,61,0.00011964643783819315,False
1,62,0.0021330827918997603,False
1,63,0.002444470137921405,False
1,64,0.0005600528813858083,False
1,65,0.018284323875288867,False
1,66,0.0537143482571537,True
1,67,0.0024696282301149824,False
1,68,0.00024977703321860486,False
1,69,0.003970589923878768,False
1,70,0.0036711244034997093,False
1,71,0.011912960073691274,False
1,72,0.0006852168155695194,False
1,73,0.0018923349746357001,False
1,74,0.026334262309513228,False
1,75,0.008452453804487456,False
1,76,0.0010142533031191035,False
1,77,0.013236602069921744,False
1,78,0.03758869412884799,True
1,79,0.015110061129611801,False
1,80,0.028148426768068807,False
1,81,0.00040381448984712614,False
1,82,0.002993822717640386,False
1,83,0.0005819733909530726,False
1,84,0.0007380137620688464,False
1,85,0.003727491636842888,False
1,86,0.0006964370314262525,False
1,87,0.0005013872187771987,False
1,88,0.001549618253417863,False
1,89,0.000670664831539433,False
1,90,0.0013183272329774388,False
1,91,0.002965460379516314,False
