engine_id,sensor,age_window,variance
1,setting_1,1,5.491868421052632e-06
1,setting_1,2,3.610058479532163e-06
1,setting_1,3,3.2424561403508783e-06
1,setting_1,4,2.2283040935672514e-06
1,setting_1,5,4.0439766081871346e-06
1,setting_1,6,1.9802339181286547e-06
1,setting_1,7,4.24485380116959e-06
1,setting_1,8,3.752631578947368e-06
1,setting_1,9,2.2595321637426904e-06
1,setting_1,10,5.444315789473685e-06
1,setting_2,1,6.765789473684211e-08
1,setting_2,2,7.912280701754387e-08
1,setting_2,3,8.444444444444444e-08
1,setting_2,4,9.45029239766082e-08
1,setting_2,5,8.783625730994152e-08
1,setting_2,6,7.245614035087718e-08
1,setting_2,7,8.251461988304094e-08
1,setting_2,8,8.35672514619883e-08
1,setting_2,9,8.116959064327486e-08
1,setting_2,10,6.555263157894737e-08
1,setting_3,1,0.0
1,setting_3,2,0.0
1,setting_3,3,0.0
1,setting_3,4,0.0
1,setting_3,5,0.0
1,setting_3,6,0.0
1,setting_3,7,0.0
1,setting_3,8,0.0
1,setting_3,9,0.0
1,setting_3,10,0.0
1,sensor_1,1,0.0
1,sensor_1,2,0.0
1,sensor_1,3,0.0
1,sensor_1,4,0.0
1,sensor_1,5,0.0
1,sensor_1,6,0.0
1,sensor_1,7,0.0
1,sensor_1,8,0.0
1,sensor_1,9,0.0
1,sensor_1,10,0.0
1,sensor_2,1,0.12971157894738852
1,sensor_2,2,0.07650350877192959
1,sensor_2,3,0.0801228070175473
1,sensor_2,4,0.047849707602344346
1,sensor_2,5,0.12652748538012876
1,sensor_2,6,0.12402573099416804
1,sensor_2,7,0.10294853801169318
1,sensor_2,8,0.06998304093567682
1,sensor_2,9,0.08365847953215727
1,sensor_2,10,0.18670815789472678
1,sensor_3,1,16.577699736841918
1,sensor_3,2,19.952900000000405
1,sensor_3,3,14.187769005847862
1,sensor_3,4,22.054898245614314
1,sensor_3,5,16.75190409356727
1,sensor_3,6,15.029765497075886
1,sensor_3,7,23.387894152046456
1,sensor_3,8,12.587061988303935
1,sensor_3,9,14.78586900584803
1,sensor_3,10,21.20962736842099
1,sensor_4,1,8.408969473684332
1,sensor_4,2,6.912565497075729
1,sensor_4,3,5.721792982456057
1,sensor_4,4,9.988980116958878
1,sensor_4,5,25.9096146198836
1,sensor_4,6,8.902676608187054
1,sensor_4,7,23.855869005847783
1,sensor_4,8,17.887776608187025
1,sensor_4,9,16.224054385964727
1,sensor_4,10,12.629883157894643
1,sensor_5,1,0.0
1,sensor_5,2,0.0
1,sensor_5,3,0.0
1,sensor_5,4,0.0
1,sensor_5,5,0.0
1,sensor_5,6,0.0
1,sensor_5,7,0.0
1,sensor_5,8,0.0
1,sensor_5,9,0.0
1,sensor_5,10,0.0
1,sensor_6,1,0.0
1,sensor_6,2,0.0
1,sensor_6,3,0.0
1,sensor_6,4,0.0
1,sensor_6,5,0.0
1,sensor_6,6,0.0
1,sensor_6,7,0.0
1,sensor_6,8,0.0
1,sensor_6,9,0.0
1,sensor_6,10,0.0
1,sensor_7,1,0.15821552631578617
1,sensor_7,2,0.14079532163740865
1,sensor_7,3,0.1310210526315705
1,sensor_7,4,0.11452865497074376
1,sensor_7,5,0.14018771929822926
1,sensor_7,6,0.21376666666665947
1,sensor_7,7,0.48933976608186164
1,sensor_7,8,0.26525847953213416
1,sensor_7,9,0.1968210526315771
1,sensor_7,10,0.32693131578949497
1,sensor_8,1,0.0010000000000024512
1,sensor_8,2,0.001145029239760694
1,sensor_8,3,0.00045789473684236477
1,sensor_8,4,0.0008052631579028003
1,sensor_8,5,0.001542690058479297
1,sensor_8,6,0.0007397660818756049
1,sensor_8,7,0.0007877192982446972
1,sensor_8,8,0.0011064327485311289
1,sensor_8,9,0.001481871345036038
1,sensor_8,10,0.0012092105263362706
1,sensor_9,1,18.279468157894776
1,sensor_9,2,24.32893567251524
1,sensor_9,3,25.481306432743466
1,sensor_9,4,20.201094152045872
1,sensor_9,5,11.515924561401421
1,sensor_9,6,8.418892982459475
1,sensor_9,7,15.007698830411815
1,sensor_9,8,22.89943625731011
1,sensor_9,9,23.979243274857804
1,sensor_9,10,18.970883157898324
1,sensor_10,1,0.0
1,sensor_10,2,0.0
1,sensor_10,3,0.0
1,sensor_10,4,0.0
1,sensor_10,5,0.0
1,sensor_10,6,0.0
1,sensor_10,7,0.0
1,sensor_10,8,0.0
1,sensor_10,9,0.0
1,sensor_10,10,0.0
1,sensor_11,1,0.01568000000000011
1,sensor_11,2,0.009091228070175325
1,sensor_11,3,0.016294152046783594
1,sensor_11,4,0.013247368421052567
1,sensor_11,5,0.008556140350877251
1,sensor_11,6,0.015047953216374088
1,sensor_11,7,0.008080701754386075
1,sensor_11,8,0.02204502923976609
1,sensor_11,9,0.015717543859649734
1,sensor_11,10,0.017699736842105303
1,sensor_12,1,0.14662000000002084
1,sensor_12,2,0.08791520467835998
1,sensor_12,3,0.10561345029239545
1,sensor_12,4,0.12769883040936192
1,sensor_12,5,0.07813625730994979
1,sensor_12,6,0.08503976608186949
1,sensor_12,7,0.06369883040935091
1,sensor_12,8,0.12152865497077367
1,sensor_12,9,0.10319122807018276
1,sensor_12,10,0.08582394736843273
1,sensor_13,1,0.0006326315789467236
1,sensor_13,2,0.0009812865497084435
1,sensor_13,3,0.0006321637426917779
1,sensor_13,4,0.0017988304093599073
1,sensor_13,5,0.0011842105263130164
1,sensor_13,6,0.001167251461974315
1,sensor_13,7,0.0012497076023500581
1,sensor_13,8,0.0016432748537864098
1,sensor_13,9,0.0011918128655029221
1,sensor_13,10,0.0021607894737048113
1,sensor_14,1,14.282198684209373
1,sensor_14,2,15.758280701754703
1,sensor_14,3,11.19530994151714
1,sensor_14,4,5.8062152046778035
1,sensor_14,5,4.225392397660606
1,sensor_14,6,7.3774982456141585
1,sensor_14,7,12.575106432748818
1,sensor_14,8,11.102191228071389
1,sensor_14,9,7.968116374267428
1,sensor_14,10,15.840230263156963
1,sensor_15,1,0.00045090576315790426
1,sensor_15,2,0.0002749120467836395
1,sensor_15,3,0.0003855898245614424
1,sensor_15,4,0.0004893591812865412
1,sensor_15,5,0.0005456536842105361
1,sensor_15,6,0.0005566533918128585
1,sensor_15,7,0.0004054426315789432
1,sensor_15,8,0.00027138426900585037
1,sensor_15,9,0.0006001376608186868
1,sensor_15,10,0.00046376378947365557
1,sensor_16,1,0.0
1,sensor_16,2,0.0
1,sensor_16,3,0.0
1,sensor_16,4,0.0
1,sensor_16,5,0.0
1,sensor_16,6,0.0
1,sensor_16,7,0.0
1,sensor_16,8,0.0
1,sensor_16,9,0.0
1,sensor_16,10,0.0
1,sensor_17,1,0.6605263157894651
1,sensor_17,2,0.8888888888888812
1,sensor_17,3,0.4970760233918041
1,sensor_17,4,0.9532163742689987
1,sensor_17,5,1.0233918128654926
1,sensor_17,6,1.3976608187134607
1,sensor_17,7,0.888888888888888
1,sensor_17,8,0.9824561403508958
1,sensor_17,9,0.8888888888888793
1,sensor_17,10,1.5236842105262876
1,sensor_18,1,0.0
1,sensor_18,2,0.0
1,sensor_18,3,0.0
1,sensor_18,4,0.0
1,sensor_18,5,0.0
1,sensor_18,6,0.0
1,sensor_18,7,0.0
1,sensor_18,8,0.0
1,sensor_18,9,0.0
1,sensor_18,10,0.0
1,sensor_19,1,0.0
1,sensor_19,2,0.0
1,sensor_19,3,0.0
1,sensor_19,4,0.0
1,sensor_19,5,0.0
1,sensor_19,6,0.0
1,sensor_19,7,0.0
1,sensor_19,8,0.0
1,sensor_19,9,0.0
1,sensor_19,10,0.0
1,sensor_20,1,0.008722105263157975
1,sensor_20,2,0.011247368421052515
